日期,收盘,开盘,高,低,交易量,涨跌幅
1/4/2016,59.42,59.88,60.02,58.08,13.83K,-0.64%
1/5/2016,61.1,59.45,61.48,59.45,21.16K,2.83%
1/6/2016,60.83,60.88,61.5,60.65,14.74K,-0.44%
1/7/2016,59.55,61.02,61.42,58.95,20.98K,-2.10%
1/8/2016,59.85,59.6,60.95,59.3,22.76K,0.50%
1/11/2016,59.7,59.62,59.92,58.88,18.43K,-0.25%
1/12/2016,61.9,60.17,62.05,60.12,28.14K,3.69%
1/13/2016,61.62,62.1,62.62,61.15,21.54K,-0.45%
1/14/2016,62.35,61.73,62.67,61.42,19.11K,1.18%
1/15/2016,62.02,62.02,62.45,61.33,9.97K,-0.53%
1/19/2016,62.85,62.83,63.15,62.1,11.42K,1.34%
1/20/2016,62.73,62.95,63.55,62.05,11.05K,-0.19%
1/21/2016,63.75,63.3,64.05,62.65,10.78K,1.63%
1/22/2016,63,63.55,63.85,62.92,7.13K,-1.18%
1/25/2016,63.52,63.55,63.88,62.92,7.20K,0.83%
1/26/2016,64.33,63.8,64.62,63.23,5.87K,1.28%
1/27/2016,65.38,64.8,65.6,64.42,5.66K,1.63%
1/28/2016,65.3,65.78,66.12,64.58,6.51K,-0.12%
1/29/2016,65.8,65.5,66.1,65.33,3.69K,0.77%
2/1/2016,65.35,66.1,66.1,65.03,3.74K,-0.68%
2/2/2016,64.2,65.22,65.33,64.12,4.91K,-1.76%
2/3/2016,64.55,64.45,65,64.28,4.46K,0.55%
2/4/2016,65.12,64.78,65.5,64.6,3.70K,0.88%
2/5/2016,64.8,65.3,65.53,64.78,4.68K,-0.49%
2/8/2016,65.03,65.28,65.75,64.8,4.37K,0.35%
2/9/2016,64.85,65,65.47,64.6,3.89K,-0.28%
2/10/2016,65.15,65.5,65.55,64.85,6.59K,0.46%
2/11/2016,65.53,65.28,65.78,65.15,4.01K,0.58%
2/12/2016,65.89,65.75,65.97,65.72,1.45K,0.55%
2/16/2016,70.15,70.17,70.8,70.05,11.75K,6.47%
2/17/2016,71.15,70.22,71.38,69.67,17.51K,1.43%
2/18/2016,70.78,71.33,72.22,70.28,22.57K,-0.52%
2/19/2016,68.9,70.08,70.4,68.35,20.85K,-2.66%
2/22/2016,69.25,68.8,69.4,68.35,12.49K,0.51%
2/23/2016,69.95,69,70.75,68.58,15.98K,1.01%
2/24/2016,71.47,70,71.58,69.22,21.63K,2.17%
2/25/2016,71.12,71.6,71.85,70.72,14.02K,-0.49%
2/26/2016,70.85,71.15,71.2,70.05,13.94K,-0.38%
2/29/2016,69.97,70.47,70.7,69.67,17.97K,-1.24%
3/1/2016,70.4,70.25,70.47,69.72,10.79K,0.61%
3/2/2016,70.05,70.78,70.8,69.9,11.92K,-0.50%
3/3/2016,70.35,70.03,70.58,69.12,16.85K,0.43%
3/4/2016,70.8,70.72,71.38,70.45,16.06K,0.64%
3/7/2016,70.05,70.85,70.95,69.28,23.00K,-1.06%
3/8/2016,69.78,70.17,70.2,69.47,18.36K,-0.39%
3/9/2016,72.1,69.85,72.2,69.47,30.42K,3.32%
3/10/2016,72.17,71.8,72.88,71.75,21.06K,0.10%
3/11/2016,71.83,72.5,72.7,71.62,18.70K,-0.47%
3/14/2016,70.78,71.67,71.7,70.35,15.33K,-1.46%
3/15/2016,70.72,70.88,71.2,70.38,9.23K,-0.08%
3/16/2016,71.3,70.6,71.92,69.97,11.99K,0.82%
3/17/2016,71.3,71.38,71.75,70.62,9.24K,0.00%
3/18/2016,71.45,71.1,71.62,70.78,6.49K,0.21%
3/21/2016,69.35,70.95,70.95,69.25,12.35K,-2.94%
3/22/2016,70.15,69.33,70.2,69.28,7.47K,1.15%
3/23/2016,69.67,70,70.15,69.4,8.53K,-0.68%
3/24/2016,69.62,70.22,70.22,69.28,9.29K,-0.07%
3/28/2016,69.92,69.75,71.67,69.33,7.44K,0.43%
